N,T
1,1986
2,1079
3,1094
4,967
5,963
6,976
7,965
8,984
9,967
10,975
11,984
12,994
13,991
14,983
15,982
16,1067
17,1035
18,986
19,972
20,981
21,999
22,987
23,1001
24,995
25,1000
26,998
27,1033
28,1032
29,983
30,985
31,1000
32,965
33,978
34,986
35,981
36,1130
37,1092
38,1009
39,998
40,983
41,1073
42,989
43,1018
44,3479
45,1193
46,994
47,980
48,991
49,1004
50,983
51,1008
52,980
53,1130
54,970
55,1008
56,1015
57,981
58,984
59,988
60,1042
61,1077
62,976
63,973
64,977
65,993
66,1010
67,1012
68,987
69,979
70,981
71,986
72,1033
73,1078
74,973
75,973
76,993
77,983
78,979
79,993
80,975
81,991
82,978
83,1010
84,1056
85,1012
86,999
87,993
88,1005
89,1000
90,993
91,990
92,1074
93,1115
94,994
95,994
96,997
97,980
98,983
99,990
100,978
101,1036
102,987
103,1063
104,1039
105,991
106,994
107,991
108,1012
109,1041
110,990
111,1006
112,1108
113,996
114,1001
115,971
116,989
117,1103
118,983
119,987
120,990
121,1082
122,994
123,992
124,987
125,987
126,1060
127,1024
128,987
129,977
130,984
131,1050
132,1064
133,992
134,991
135,983
136,1002
137,991
138,984
139,980
140,984
141,990
142,1003
143,1050
144,1024
145,980
146,1000
147,1103
148,983
149,994
150,994
151,1125
152,1090
153,980
154,997
155,1000
156,1006
157,1012
158,1060
159,1012
160,1026
161,1014
162,993
163,980
164,995
165,987
166,1011
167,989
168,990
169,1000
170,1080
171,1116
172,1004
173,999
174,1069
175,992
176,1016
177,982
178,987
179,999
180,984
181,1006
182,1000
183,990
184,1096
185,1084
186,1010
187,1063
188,991
189,983
190,1149
191,1031
192,1052
193,992
194,1000
195,1005
196,994
197,989
198,1002
199,989
200,1010
201,1000
202,1093
203,1002
204,991
205,1066
206,991
207,1009
208,998
209,1036
210,1098
211,1094
212,998
213,998
214,992
215,1008
216,990
217,1000
218,1046
219,999
220,1008
221,1001
222,989
223,997
224,990
225,1008
226,993
227,997
228,991
229,1118
230,1010
231,1001
232,1009
233,1008
234,993
235,1009
236,989
237,1036
238,1008
239,1020
240,1010
241,1008
242,994
243,997
244,994
245,1009
246,991
247,999
248,989
249,1129
250,1001
251,1294
252,1002
253,1000
254,999
255,1012
256,1011
257,1087
258,1007
259,1402
260,1128
261,998
262,1003
263,996
264,1015
265,996
266,1008
267,1021
268,1119
269,1099
270,1003
271,1008
272,1005
273,1001
274,1013
275,1000
276,1061
277,1000
278,1260
279,1059
280,999
281,1014
282,1009
283,1018
284,993
285,1008
286,1000
287,1148
288,1011
289,1025
290,1006
291,1014
292,1007
293,1020
294,1064
295,1031
296,1010
297,1009
298,1115
299,1022
300,1030
301,1024
302,1079
303,1062
304,1016
305,1040
306,1173
307,1001
308,1024
309,1002
310,1012
311,1093
312,1024
313,1020
314,1006
315,1014
316,1012
317,1088
318,1040
319,1013
320,1108
321,1032
322,1043
323,1007
324,1021
325,1149
326,1107
327,1022
328,1009
329,1031
330,1019
331,1010
332,1021
333,1061
334,1011
335,1043
336,1018
337,1026
338,1009
339,1019
340,1012
341,1019
342,1022
343,1006
344,1123
345,1072
346,1022
347,1025
348,1007
349,1022
350,1010
351,1023
352,1011
353,1021
354,1026
355,1018
356,1028
357,1036
358,1108
359,1024
360,1008
361,1024
362,1016
363,1086
364,1076
365,1012
366,1030
367,1014
368,1089
369,1025
370,1031
371,1025
372,1015
373,1040
374,1016
375,1102
376,1023
377,1012
378,1039
379,1033
380,1029
381,1016
382,1082
383,1121
384,1179
385,1031
386,1036
387,1097
388,1031
389,1022
390,1031
391,1078
392,1022
393,1024
394,1015
395,1029
396,1022
397,1036
398,1014
399,1027
400,1046
401,1109
402,1071
403,1025
404,1043
405,1021
406,1024
407,1023
408,1020
409,1044
410,1110
411,1035
412,1031
413,1021
414,1030
